country,country_name,year,party,rank,vote_share,seat_share,share_diff,seats,seats_total,elec_sys
AUS,Australia,1903,PP,Top 1,29.7,34.7,5,26,75,First-past-post
AUS,Australia,1903,FTP,Top 2,34.4,33.3,-1.1,25,75,First-past-post
AUS,Australia,1906,FTP,Top 1,38.2,36,-2.2,27,75,First-past-post
AUS,Australia,1906,ALP,Top 2,36.6,34.7,-1.9,26,75,First-past-post
AUS,Australia,1910,ALP,Top 1,50,57.3,7.3,43,75,First-past-post
AUS,Australia,1910,CLP,Top 2,45.1,41.3,-3.8,31,75,First-past-post
AUS,Australia,1913,CLP,Top 1,48.9,50.7,1.8,38,75,First-past-post
AUS,Australia,1913,ALP,Top 2,48.5,49.3,0.8,37,75,First-past-post
AUS,Australia,1914,ALP,Top 1,50.9,56,5.1,42,75,First-past-post
AUS,Australia,1914,CLP,Top 2,47.2,42.7,-4.5,32,75,First-past-post
AUS,Australia,1917,NAT,Top 1,54.2,70.7,16.5,53,75,First-past-post
AUS,Australia,1917,ALP,Top 2,43.9,29.3,-14.6,22,75,First-past-post
BGD,Bangladesh,2001,BNP,Top 1,41,64.8,23.8,193,298,First-past-post
BGD,Bangladesh,2001,BAL,Top 2,40.1,20.8,-19.3,62,298,First-past-post
BRB,Barbados,1956,BLP,Top 1,49.4,62.5,13.1,15,24,First-past-post
BRB,Barbados,1956,DLP,Top 2,19.9,16.7,-3.2,4,24,First-past-post
BRB,Barbados,1961,DLP,Top 1,36.3,58.3,22,14,24,First-past-post
BRB,Barbados,1961,BLP,Top 2,36.8,20.8,-16,5,24,First-past-post
BRB,Barbados,1966,DLP,Top 1,49.6,58.3,8.7,14,24,First-past-post
BRB,Barbados,1966,BLP,Top 2,32.6,33.3,0.7,8,24,First-past-post
BRB,Barbados,1971,DLP,Top 1,57.4,75,17.6,18,24,First-past-post
BRB,Barbados,1971,BLP,Top 2,42.4,25,-17.4,6,24,First-past-post
BRB,Barbados,1976,BLP,Top 1,52.7,70.8,18.1,17,24,First-past-post
