country,year,elec_sys
CHE,1902,Two-round
CHE,1905,Two-round
CHE,1908,Two-round
CHE,1911,Two-round
CHE,1914,Two-round
CHE,1917,Two-round
GHA,1996,First-past-post
GHA,2004,First-past-post
GHA,2008,First-past-post
GHA,2012,First-past-post
GHA,2016,First-past-post
GHA,2020,First-past-post
MMR,2020,First-past-post
RUS,1993,Two-round
USA,1900,First-past-post
USA,1902,First-past-post
USA,1904,First-past-post
USA,1906,First-past-post
USA,1908,First-past-post
USA,1910,First-past-post
USA,1912,First-past-post
USA,1914,First-past-post
USA,1916,First-past-post
USA,1918,First-past-post
USA,1920,First-past-post
USA,1922,First-past-post
USA,1924,First-past-post
USA,1926,First-past-post
USA,1928,First-past-post
USA,1930,First-past-post
USA,1932,First-past-post
USA,1934,First-past-post
USA,1936,First-past-post
USA,1938,First-past-post
USA,1940,First-past-post
USA,1942,First-past-post
USA,1944,First-past-post
USA,1946,First-past-post
USA,1948,First-past-post
USA,1950,First-past-post
USA,1952,First-past-post
USA,1954,First-past-post
USA,1956,First-past-post
USA,1958,First-past-post
USA,1960,First-past-post
USA,1962,First-past-post
USA,1964,First-past-post
USA,1966,First-past-post
USA,1968,First-past-post
USA,1970,First-past-post
USA,1972,First-past-post
USA,1974,First-past-post
USA,1976,First-past-post
USA,1978,First-past-post
USA,1980,First-past-post
USA,1982,First-past-post
USA,1984,First-past-post
USA,1986,First-past-post
USA,1988,First-past-post
USA,1990,First-past-post
USA,1992,First-past-post
USA,1994,First-past-post
USA,1996,First-past-post
USA,1998,First-past-post
USA,2000,First-past-post
USA,2002,First-past-post
USA,2004,First-past-post
USA,2006,First-past-post
USA,2008,First-past-post
USA,2010,First-past-post
USA,2012,First-past-post
USA,2014,First-past-post
USA,2016,First-past-post
USA,2018,First-past-post
USA,2020,First-past-post
BGD,1991,First-past-post
BGD,1996,First-past-post
BGD,2001,First-past-post
HTI,1997,Two-round
HTI,2000,Two-round
HTI,2010,Two-round
HTI,2011,Two-round
HTI,2015,Two-round
MLI,1992,Two-round
MLI,1997,Two-round
MLI,2002,Two-round
MLI,2007,Two-round
MLI,2020,Two-round
PAK,1997,First-past-post
PAK,2008,First-past-post
PAK,2013,First-past-post
PAK,2018,First-past-post
IND,1957,First-past-post
IND,1962,First-past-post
IND,1967,First-past-post
IND,1971,First-past-post
IND,1977,First-past-post
IND,1980,First-past-post
IND,1984,First-past-post
IND,1989,First-past-post
IND,1991,First-past-post
IND,1996,First-past-post
IND,1998,First-past-post
IND,1999,First-past-post
IND,2004,First-past-post
IND,2009,First-past-post
IND,2014,First-past-post
IND,2019,First-past-post
KEN,2007,First-past-post
KEN,2013,First-past-post
KEN,2017,First-past-post
NGA,2003,First-past-post
NGA,2007,First-past-post
NGA,2011,First-past-post
NGA,2015,First-past-post
NGA,2019,First-past-post
PHL,1961,First-past-post
PHL,1965,First-past-post
TZA,1995,First-past-post
TZA,2000,First-past-post
TZA,2005,First-past-post
TZA,2010,First-past-post
TZA,2015,First-past-post
TZA,2020,First-past-post
BTN,2008,First-past-post
BTN,2013,First-past-post
BTN,2018,First-past-post
NPL,1994,First-past-post
NPL,1999,First-past-post
ZMB,1996,First-past-post
ZMB,2001,First-past-post
ZMB,2006,First-past-post
ZMB,2011,First-past-post
ZMB,2016,First-past-post
CIV,2001,First-past-post
CIV,2011,First-past-post
CIV,2016,First-past-post
CAN,1900,First-past-post
CAN,1904,First-past-post
CAN,1908,First-past-post
CAN,1911,First-past-post
CAN,1917,First-past-post
CAN,1921,First-past-post
CAN,1925,First-past-post
CAN,1926,First-past-post
CAN,1930,First-past-post
CAN,1935,First-past-post
CAN,1940,First-past-post
CAN,1945,First-past-post
CAN,1949,First-past-post
CAN,1953,First-past-post
CAN,1957,First-past-post
CAN,1958,First-past-post
CAN,1962,First-past-post
CAN,1963,First-past-post
CAN,1965,First-past-post
CAN,1968,First-past-post
