country,country_name,year,party,vote_share,seat_share,share_diff,seats,seats_total,elec_sys
CAN,Canada,1900,CPC,47.4,37.6,-9.8,80,213,First-past-post
CAN,Canada,1900,LP,51.2,62.4,11.2,133,213,First-past-post
GBR,United Kingdom,1900,LUP,7.4,10.1,2.7,68,670,First-past-post
GBR,United Kingdom,1900,Lib,41.2,27.5,-13.7,184,670,First-past-post
GBR,United Kingdom,1900,Con,41.2,49.9,8.7,334,670,First-past-post
USA,United States of America,1900,Dem,43,42.3,-0.7,151,357,First-past-post
USA,United States of America,1900,Rep,52.1,55.2,3.1,197,357,First-past-post
DNK,Denmark,1901,MV,11.4,14,2.6,16,114,First-past-post
DNK,Denmark,1901,SD,17.1,12.3,-4.8,14,114,First-past-post
DNK,Denmark,1901,KF,24,7,-17,8,114,First-past-post
DNK,Denmark,1901,V,42.9,66.7,23.8,76,114,First-past-post
NLD,Netherlands,1901,CHU,6.7,10,3.3,10,100,Two-round
NLD,Netherlands,1901,BVL,6.8,8,1.2,8,100,Two-round
NLD,Netherlands,1901,VDB,7.3,9,1.7,9,100,Two-round
NLD,Netherlands,1901,SDAP,9.5,7,-2.5,7,100,Two-round
NLD,Netherlands,1901,AB/RSKP,15.7,25,9.3,25,100,Two-round
NLD,Netherlands,1901,LU,20.8,18,-2.8,18,100,Two-round
NLD,Netherlands,1901,ARP,27.4,22,-5.4,22,100,Two-round
CHE,Switzerland,1902,LPS,8.6,12,3.4,20,167,Two-round
CHE,Switzerland,1902,SP,12.6,4.2,-8.4,7,167,Two-round
CHE,Switzerland,1902,KK/CVP,23.1,21.6,-1.5,36,167,Two-round
CHE,Switzerland,1902,FDP,50.4,59.9,9.5,100,167,Two-round
FRA,France,1902,PS,6.3,7.8,1.5,45,575,Two-round
FRA,France,1902,PR,10.1,13,2.9,75,575,Two-round
FRA,France,1902,Con,14.1,25.2,11.1,145,575,Two-round
FRA,France,1902,RI,16.8,20.3,3.5,117,575,Two-round
FRA,France,1902,GR,29.7,30.4,0.7,175,575,Two-round
GRC,Greece,1902,KE,NA,46.8,NA,110,235,First-past-post
GRC,Greece,1902,NK,NA,29.8,NA,70,235,First-past-post
GRC,Greece,1902,TM,NA,12.8,NA,30,235,First-past-post
NZL,New Zealand,1902,RP,20.6,23.8,3.2,19,80,First-past-post
NZL,New Zealand,1902,LP/UP,51.8,58.8,7,47,80,First-past-post
NZL,New Zealand,1902,indep,NA,12.5,NA,10,80,First-past-post
USA,United States of America,1902,Dem,43.8,46.1,2.3,178,386,First-past-post
USA,United States of America,1902,Rep,50.5,53.9,3.4,208,386,First-past-post
AUS,Australia,1903,PP,29.7,34.7,5,26,75,First-past-post
AUS,Australia,1903,ALP,31,30.7,-0.3,23,75,First-past-post
AUS,Australia,1903,FTP,34.4,33.3,-1.1,25,75,First-past-post
DNK,Denmark,1903,MV,8,10.5,2.5,12,114,First-past-post
DNK,Denmark,1903,SD,20.1,14,-6.1,16,114,First-past-post
DNK,Denmark,1903,KF,20.5,10.5,-10,12,114,First-past-post
DNK,Denmark,1903,V,47.1,64,16.9,73,114,First-past-post
NOR,Norway,1903,DNA,9.7,4.3,-5.4,5,117,Two-round
NOR,Norway,1903,V,42.7,41,-1.7,48,117,Two-round
NOR,Norway,1903,H and MV + FV,44.8,NA,NA,NA,NA,Two-round
NOR,Norway,1903,H,NA,40.2,NA,47,117,Two-round
NOR,Norway,1903,MV,NA,9.4,NA,11,117,Two-round
NOR,Norway,1903,SP,NA,4.3,NA,5,117,Two-round
CAN,Canada,1904,CPC,46.4,35,-11.4,75,214,First-past-post
CAN,Canada,1904,LP,52,64.5,12.5,138,214,First-past-post
USA,United States of America,1904,Dem,39.8,35.2,-4.6,136,386,First-past-post
USA,United States of America,1904,Rep,55,64.8,9.8,250,386,First-past-post
CHE,Switzerland,1905,LPS,6.7,11.4,4.7,19,167,Two-round
CHE,Switzerland,1905,SP,14.7,1.2,-13.5,2,167,Two-round
CHE,Switzerland,1905,KK/CVP,22.5,21.6,-0.9,36,167,Two-round
CHE,Switzerland,1905,FDP,49.2,62.3,13.1,104,167,Two-round
NLD,Netherlands,1905,BVL,8.2,9,0.8,9,100,Two-round
NLD,Netherlands,1905,VDB,8.8,11,2.2,11,100,Two-round
NLD,Netherlands,1905,CHU,10.8,8,-2.8,8,100,Two-round
NLD,Netherlands,1905,SDAP,11.2,7,-4.2,7,100,Two-round
NLD,Netherlands,1905,AB/RSKP,13.1,25,11.9,25,100,Two-round
NLD,Netherlands,1905,LU,20,25,5,25,100,Two-round
NLD,Netherlands,1905,ARP,24.7,15,-9.7,15,100,Two-round
NZL,New Zealand,1905,RP,29.7,20,-9.7,16,80,First-past-post
NZL,New Zealand,1905,LP/UP,53.1,72.5,19.4,58,80,First-past-post
NZL,New Zealand,1905,indep,NA,7.5,NA,6,80,First-past-post
AUS,Australia,1906,PP,16.4,21.3,4.9,16,75,First-past-post
AUS,Australia,1906,ALP,36.6,34.7,-1.9,26,75,First-past-post
AUS,Australia,1906,FTP,38.2,36,-2.2,27,75,First-past-post
DNK,Denmark,1906,MV,6.8,7.9,1.1,9,114,First-past-post
DNK,Denmark,1906,RV,12.6,7.9,-4.7,9,114,First-past-post
DNK,Denmark,1906,KF,21,10.5,-10.5,12,114,First-past-post
DNK,Denmark,1906,SD,25.4,21.1,-4.3,24,114,First-past-post
DNK,Denmark,1906,V,31.2,49.1,17.9,56,114,First-past-post
FRA,France,1906,RI,7.8,6.8,-1,39,575,Two-round
FRA,France,1906,GR,8,9,1,52,575,Two-round
FRA,France,1906,PS,9.9,9.2,-0.7,53,575,Two-round
FRA,France,1906,RP,14.1,11.7,-2.4,67,575,Two-round
FRA,France,1906,PR,28.5,41.6,13.1,239,575,Two-round
FRA,France,1906,C-FR,29.2,18.6,-10.6,107,575,Two-round
GBR,United Kingdom,1906,Lab,5.5,4.3,-1.2,29,670,First-past-post
GBR,United Kingdom,1906,LUP,5.9,3.9,-2,26,670,First-past-post
GBR,United Kingdom,1906,Con,36.8,19.6,-17.2,131,670,First-past-post
GBR,United Kingdom,1906,Lib,44.5,59.7,15.2,400,670,First-past-post
NOR,Norway,1906,DNA,16,8.1,-7.9,10,123,Two-round
NOR,Norway,1906,H,32.8,29.3,-3.5,36,123,Two-round
NOR,Norway,1906,V,45.1,59.3,14.2,73,123,Two-round
USA,United States of America,1906,Dem,42.5,42.5,0,164,386,First-past-post
USA,United States of America,1906,Rep,51.2,57.5,6.3,222,386,First-past-post
CAN,Canada,1908,CPC,46.8,38.5,-8.3,85,221,First-past-post
CAN,Canada,1908,LP,50.4,61.1,10.7,135,221,First-past-post
CHE,Switzerland,1908,LPS,5.9,9,3.1,15,167,Two-round
CHE,Switzerland,1908,SP,17.6,4.2,-13.4,7,167,Two-round
CHE,Switzerland,1908,KK/CVP,20.5,21,0.5,35,167,Two-round
CHE,Switzerland,1908,FDP,50.9,62.9,12,105,167,Two-round
NZL,New Zealand,1908,RP,27.8,32.5,4.7,26,80,First-past-post
NZL,New Zealand,1908,LP/UP,58.7,62.5,3.8,50,80,First-past-post
USA,United States of America,1908,Dem,44.5,44,-0.5,172,391,First-past-post
USA,United States of America,1908,Rep,50.9,56,5.1,219,391,First-past-post
