party,short,ideology,unit
0,,,Wahlberechtigte
0,,,Wähler
0,,,Ungültige
0,,,Gültige
1,CDU,right,Christlich Demokratische Union Deutschlands
1,SPD,left,Sozialdemokratische Partei Deutschlands
1,DIE LINKE,left,DIE LINKE
1,GRÜNE,left,BÜNDNIS 90/DIE GRÜNEN
1,CSU,right,Christlich-Soziale Union in Bayern e.V.
1,FDP,right,Freie Demokratische Partei
1,AfD,right,Alternative für Deutschland
1,,,Piratenpartei Deutschland
1,,,Nationaldemokratische Partei Deutschlands
1,,,FREIE WÄHLER
1,,,PARTEI MENSCH UMWELT TIERSCHUTZ
1,,,Ökologisch-Demokratische Partei
1,,,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
1,,,Bayernpartei
1,,,Ab jetzt...Demokratie durch Volksabstimmung
1,,,Partei der Vernunft
1,,,Marxistisch-Leninistische Partei Deutschlands
1,,,Bürgerrechtsbewegung Solidarität
1,,,"Sozialistische Gleichheitspartei, Vierte Internationale"
1,,,DIE RECHTE
1,,,Allianz Deutscher Demokraten
1,,,"Allianz für Menschenrechte, Tier- und Naturschutz"
1,,,"bergpartei, die überpartei"
1,,,Bündnis Grundeinkommen
1,,,DEMOKRATIE IN BEWEGUNG
1,,,Deutsche Kommunistische Partei
1,,,Deutsche Mitte
1,,,Die Grauen – Für alle Generationen
1,,,Die Urbane. Eine HipHop Partei
1,,,Magdeburger Gartenpartei
1,,,Menschliche Welt
1,,,Partei der Humanisten
1,,,Partei für Gesundheitsforschung
1,,,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer"
1,,,Bündnis C - Christen für Deutschland
1,,,DIE EINHEIT
1,,,Die Violetten
1,,,Familien-Partei Deutschlands
1,,,Feministische Partei DIE FRAUEN
1,,,Mieterpartei
1,,,Neue Liberale – Die Sozialliberalen
1,,,UNABHÄNGIGE für bürgernahe Demokratie
0,,,Übrige
