state,region,wkr_nr,district_name,party,sex
NW,west,93,Köln I,SPD,f
NI,west,41,Stadt Hannover I,SPD,m
MV,east,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,SPD,f
HE,west,181,Main-Taunus,CDU,m
MV,east,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,SPD,m
BY,west,241,Ansbach,CSU,m
BY,west,233,Regensburg,CSU,m
SN,east,161,Mittelsachsen,AfD,f
RP,west,205,Mainz,SPD,m
BW,west,295,Zollernalb – Sigmaringen,CDU,m
HE,west,171,Marburg,SPD,m
NW,west,115,Duisburg I,SPD,f
BE,west,83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,GRÜNE,f
TH,east,191,Jena – Sömmerda – Weimarer Land I,SPD,m
NW,west,135,Lippe I,SPD,m
NI,west,38,Osnabrück-Land,CDU,m
SH,west,8,Segeberg – Stormarn-Mitte,SPD,m
NW,west,105,Mettmann II,CDU,m
BW,west,260,Böblingen,CDU,m
BW,west,265,Ludwigsburg,CDU,m
NI,west,37,Lüchow-Dannenberg – Lüneburg,SPD,m
SN,east,151,Nordsachsen,AfD,m
HE,west,174,Fulda,CDU,m
BY,west,216,Ingolstadt,CSU,m
TH,east,194,Gera – Greiz – Altenburger Land,AfD,m
BW,west,274,Heidelberg,GRÜNE,f
NI,west,32,Cloppenburg – Vechta,CDU,f
BY,west,244,Nürnberg-Nord,CSU,m
ST,east,68,Harz,CDU,f
NW,west,131,Gütersloh I,CDU,m
NW,west,99,Oberbergischer Kreis,CDU,m
RP,west,200,Mosel/Rhein-Hunsrück,CDU,m
BW,west,283,Emmendingen – Lahr,CDU,m
BY,west,248,Bad Kissingen,CSU,f
TH,east,192,Gotha – Ilm-Kreis,AfD,m
BW,west,275,Mannheim,SPD,f
SN,east,157,Görlitz,AfD,m
NI,west,25,Unterems,CDU,f
BE,west,85,Berlin-Marzahn-Hellersdorf,CDU,m
SH,west,2,Nordfriesland – Dithmarschen Nord,CDU,f
BE,west,82,Berlin-Neukölln,SPD,m
ST,east,72,Halle,SPD,m
NW,west,114,Krefeld II – Wesel II,SPD,m
SN,east,164,Erzgebirgskreis I,AfD,m
HE,west,167,Waldeck,SPD,f
BY,west,226,Weilheim,CSU,m
BW,west,289,Reutlingen,CDU,m
HH,west,18,Hamburg-Mitte,SPD,m
BY,west,253,Augsburg-Land,CSU,m
HE,west,173,Gießen,SPD,m
NW,west,139,Ennepe-Ruhr-Kreis II,SPD,m
BY,west,246,Roth,CSU,m
BB,east,60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,SPD,f
BY,west,255,Neu-Ulm,CSU,m
BY,west,234,Schwandorf,CSU,f
BY,west,227,Deggendorf,CSU,m
NW,west,132,Bielefeld – Gütersloh II,SPD,f
NI,west,42,Stadt Hannover II,SPD,f
ST,east,74,Mansfeld,AfD,m
NW,west,118,Mülheim – Essen I,SPD,m
HE,west,170,Schwalm-Eder,SPD,m
BW,west,286,Schwarzwald-Baar,CDU,m
BY,west,239,Hof,CSU,m
BY,west,245,Nürnberg-Süd,CSU,m
BW,west,263,Göppingen,CDU,m
BB,east,58,Oberhavel – Havelland II,SPD,f
NI,west,39,Stadt Osnabrück,SPD,m
BY,west,238,Coburg,CSU,m
BE,west,76,Berlin-Pankow,GRÜNE,m
NW,west,125,Bottrop – Recklinghausen III,SPD,m
RP,west,210,Pirmasens,SPD,f
BW,west,266,Neckar-Zaber,CDU,m
HE,west,168,Kassel,SPD,m
TH,east,189,Eichsfeld – Nordhausen – Kyffhäuserkreis,CDU,m
NI,west,30,Stade I – Rotenburg II,CDU,m
BW,west,269,Backnang – Schwäbisch Gmünd,CDU,f
NW,west,108,Neuss I,CDU,m
BW,west,261,Esslingen,CDU,m
BE,west,77,Berlin-Reinickendorf,CDU,f
BW,west,278,Bruchsal – Schwetzingen,CDU,m
BE,west,84,Berlin-Treptow-Köpenick,DIE LINKE,m
NW,west,136,Höxter – Gütersloh III – Lippe II,CDU,m
SH,west,1,Flensburg – Schleswig,GRÜNE,m
SH,west,9,Ostholstein – Stormarn-Nord,SPD,f
BY,west,221,München-Land,CSU,m
HH,west,23,Hamburg-Bergedorf – Harburg,SPD,m
NW,west,120,Essen III,CDU,m
NW,west,119,Essen II,SPD,m
RP,west,198,Ahrweiler,CDU,f
NI,west,45,Gifhorn – Peine,SPD,m
NI,west,52,Goslar – Northeim – Osterode,SPD,f
BE,west,79,Berlin-Steglitz-Zehlendorf,CDU,m
HH,west,19,Hamburg-Altona,GRÜNE,f
