source,level,wkr_nr,wkr_name,land_nr,party,ideology,votes_type,share,votes,votes_valid
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,CDU,right,Erststimmen,23.36,41721,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,CDU,right,Zweitstimmen,20.39,36421,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,SPD,left,Erststimmen,21.8,38927,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,SPD,left,Zweitstimmen,25.48,45508,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,AfD,right,Erststimmen,5.47,9768,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,AfD,right,Zweitstimmen,5.78,10317,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,FDP,right,Erststimmen,6.89,12299,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,FDP,right,Zweitstimmen,10.74,19189,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,DIE LINKE,left,Erststimmen,3.66,6544,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,DIE LINKE,left,Zweitstimmen,4.18,7475,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,GRÜNE,left,Erststimmen,28.13,50231,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,GRÜNE,left,Zweitstimmen,18.64,33300,178625
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,CDU,right,Erststimmen,30.37,43745,144050
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,CDU,right,Zweitstimmen,24.64,35511,144145
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,SPD,left,Erststimmen,27.79,40026,144050
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,SPD,left,Zweitstimmen,26.31,37926,144145
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,AfD,right,Erststimmen,5.74,8274,144050
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,AfD,right,Zweitstimmen,6.1,8798,144145
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,FDP,right,Erststimmen,9.69,13958,144050
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,FDP,right,Zweitstimmen,12.73,18350,144145
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,DIE LINKE,left,Erststimmen,2.82,4060,144050
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,DIE LINKE,left,Zweitstimmen,3.08,4437,144145
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,GRÜNE,left,Erststimmen,14.31,20611,144050
data-raw/w-btw21_kerg,district,2,Nordfriesland – Dithmarschen Nord,1,GRÜNE,left,Zweitstimmen,15.67,22588,144145
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,CDU,right,Erststimmen,29.21,39431,134980
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,CDU,right,Zweitstimmen,24.31,32842,135109
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,SPD,left,Erststimmen,29.17,39379,134980
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,SPD,left,Zweitstimmen,27.73,37468,135109
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,AfD,right,Erststimmen,7.73,10429,134980
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,AfD,right,Zweitstimmen,8.37,11303,135109
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,FDP,right,Erststimmen,14.31,19315,134980
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,FDP,right,Zweitstimmen,13.69,18492,135109
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,DIE LINKE,left,Erststimmen,3.21,4339,134980
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,DIE LINKE,left,Zweitstimmen,3.35,4524,135109
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,GRÜNE,left,Erststimmen,12.36,16686,134980
data-raw/w-btw21_kerg,district,3,Steinburg – Dithmarschen Süd,1,GRÜNE,left,Zweitstimmen,14.24,19237,135109
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,CDU,right,Erststimmen,29.68,47688,160650
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,CDU,right,Zweitstimmen,23.93,38517,160955
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,SPD,left,Erststimmen,30.8,49474,160650
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,SPD,left,Zweitstimmen,26.81,43148,160955
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,AfD,right,Erststimmen,6.35,10200,160650
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,AfD,right,Zweitstimmen,6.56,10564,160955
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,FDP,right,Erststimmen,8.03,12903,160650
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,FDP,right,Zweitstimmen,12,19322,160955
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,DIE LINKE,left,Erststimmen,2.75,4416,160650
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,DIE LINKE,left,Zweitstimmen,3.21,5163,160955
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,GRÜNE,left,Erststimmen,14.83,23832,160650
data-raw/w-btw21_kerg,district,4,Rendsburg-Eckernförde,1,GRÜNE,left,Zweitstimmen,17.91,28828,160955
data-raw/w-btw21_kerg,district,5,Kiel,1,CDU,right,Erststimmen,18.35,28416,154816
data-raw/w-btw21_kerg,district,5,Kiel,1,CDU,right,Zweitstimmen,15.43,23920,155068
data-raw/w-btw21_kerg,district,5,Kiel,1,SPD,left,Erststimmen,29.52,45709,154816
data-raw/w-btw21_kerg,district,5,Kiel,1,SPD,left,Zweitstimmen,26.01,40338,155068
data-raw/w-btw21_kerg,district,5,Kiel,1,AfD,right,Erststimmen,4.62,7147,154816
data-raw/w-btw21_kerg,district,5,Kiel,1,AfD,right,Zweitstimmen,4.94,7654,155068
data-raw/w-btw21_kerg,district,5,Kiel,1,FDP,right,Erststimmen,7.39,11445,154816
data-raw/w-btw21_kerg,district,5,Kiel,1,FDP,right,Zweitstimmen,10.39,16110,155068
data-raw/w-btw21_kerg,district,5,Kiel,1,DIE LINKE,left,Erststimmen,4.7,7275,154816
data-raw/w-btw21_kerg,district,5,Kiel,1,DIE LINKE,left,Zweitstimmen,6.08,9430,155068
data-raw/w-btw21_kerg,district,5,Kiel,1,GRÜNE,left,Erststimmen,28.12,43532,154816
data-raw/w-btw21_kerg,district,5,Kiel,1,GRÜNE,left,Zweitstimmen,28.43,44089,155068
data-raw/w-btw21_kerg,district,6,Plön – Neumünster,1,CDU,right,Erststimmen,27.94,36870,131962
data-raw/w-btw21_kerg,district,6,Plön – Neumünster,1,CDU,right,Zweitstimmen,22.86,30290,132527
data-raw/w-btw21_kerg,district,6,Plön – Neumünster,1,SPD,left,Erststimmen,31.45,41497,131962
