source,level,wkr_nr,wkr_name,land_nr,unit,votes_type,votes,votes_valid
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Wahlberechtigte,Erststimmen,231536,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Wahlberechtigte,Zweitstimmen,231536,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Wählende,Erststimmen,180112,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Wählende,Zweitstimmen,180112,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Ungültige Stimmen,Erststimmen,1537,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Ungültige Stimmen,Zweitstimmen,1487,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Gültige Stimmen,Erststimmen,178575,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Gültige Stimmen,Zweitstimmen,178625,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Christlich Demokratische Union Deutschlands,Erststimmen,41721,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Christlich Demokratische Union Deutschlands,Zweitstimmen,36421,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Sozialdemokratische Partei Deutschlands,Erststimmen,38927,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Sozialdemokratische Partei Deutschlands,Zweitstimmen,45508,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Alternative für Deutschland,Erststimmen,9768,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Alternative für Deutschland,Zweitstimmen,10317,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Freie Demokratische Partei,Erststimmen,12299,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,Freie Demokratische Partei,Zweitstimmen,19189,178625
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,DIE LINKE,Erststimmen,6544,178575
data-raw/w-btw21_kerg,district,1,Flensburg – Schleswig,1,DIE LINKE,Zweitstimmen,7475,178625
