state,ags,place,population
BY,092760130130,Lindberg,2294
RP,073355011022,"Landstuhl, Sickingenstadt, Stadt",8305
MV,130765654053,Grebs-Niendorf,546
BY,094775437135,"Ludwigschorgast, M",978
NI,034570024024,Bunde,7527
RP,072335004207,Borler,67
HE,066360008008,Meißner,2948
MV,130715161055,Groß Nemerow,1149
NW,055580044044,Senden,20440
BY,097800140140,"Sulzberg, M",4952
BW,083265002020,Gütenbach,1069
BW,083365008075,Schallbach,839
BY,092760127127,Kirchdorf i.Wald,2069
RP,071335006099,Spabrücken,1213
RP,071335009010,Becherbach bei Kirn,439
MV,130715157161,Woggersin,507
HE,066360011011,"Sontra, Stadt",7494
RP,071405004146,Sohrschied,114
RP,071415011088,Mittelfischbach,142
RP,073325002019,"Freinsheim, Stadt",4713
SH,010575782074,Schönkirchen,6697
BB,120715107052,Drachhausen,762
RP,071325010501,"Altenkirchen (Westerwald), Stadt",6525
BY,097800137137,Rettenberg,4355
SN,147300190190,Mockrehna,4963
BY,097745728196,Winterbach (Landkreis Günzburg),756
NI,033560007007,"Osterholz-Scharmbeck, Stadt",29762
BY,097740144144,"Jettingen-Scheppach, M",6994
TH,160715051069,Obertrebra,243
BW,081185005014,Erdmannhausen,5193
MV,130745455061,Perlin,377
RP,071435005084,Wittgert,657
RP,072325008105,Pickließem,297
RP,071355005019,Bullay,1665
BY,097800122122,Haldenwang (Landkreis Oberallgäu),3783
SL,100460117117,"St. Wendel, Kreisstadt",25440
SN,145210290290,Hohndorf,3362
BY,097800119119,"Dietmannsried, M",8333
SN,146275234240,Röderaue,2551
TH,160765006042,Lederhose,264
NW,053620024024,"Frechen, Stadt",51863
BY,097740162162,"Neuburg a.d.Kammel, M",3167
SH,010535318046,Gudow,1745
SN,146265502190,Hohendubrau,1836
BW,083155013094,St. Märgen,1958
SN,146265502320,Mücka,947
BB,120675705292,Lawitz,572
BW,081185005001,Affalterbach,4304
BW,081255014021,Eberstadt,3105
RP,071325010109,Stürzelbach,233
BY,096780115115,Bergrheinfeld,5148
HE,064120000000,"Frankfurt am Main, Stadt",743268
BY,092735219115,Attenhofen,1427
TH,160660092092,"Zella-Mehlis, Stadt",12323
NW,055580008008,"Billerbeck, Stadt",11625
HE,064400006006,Echzell,5482
NW,055700048048,Wadersloh,12619
RP,072315006054,Hilscheid,248
BW,084355003005,Bermatingen,3981
NW,059110000000,"Bochum, Stadt",354288
RP,071385005057,Puderbach,2514
BY,097790147147,Fremdingen,2079
SH,010515166073,Marnerdeich,395
SH,010615153104,Süderau,725
RP,073395003041,Nieder-Hilbersheim,644
SN,146285219390,Struppen,2434
RP,073365008042,Hinzweiler,330
HE,064340013013,Weilrod,6785
BY,092725213152,Zenting,1137
TH,160765054081,Weißendorf,322
NW,053780008008,"Burscheid, Stadt",19131
RP,071325010099,Schöneberg (Landkreis Altenkirchen (Westerwald)),426
BB,120630148148,"Ketzin/Havel, Stadt",6560
RP,071435004077,Untershausen,526
BY,091905177121,Eglfing,1138
BB,120615114510,Unterspreewald,759
ST,150900415415,"Osterburg (Altmark), Hansestadt",9435
BY,094780176176,"Weismain, St",4843
RP,071405004159,Wahlenau,210
RP,071435002202,Alpenrod,1636
RP,073355001202,Langwieden,278
MV,130765665036,Dümmer,1564
RP,071405008058,Horn,344
MV,130755555025,Dargelin,369
BY,095740154154,Rückersdorf (Landkreis Nürnberger Land),4783
BW,084265005028,Burgrieden,4165
SH,010515178050,Hillgroven,57
BW,081175008038,Rechberghausen,5413
BY,096775624172,Rechtenbach,1035
BY,097785761188,Pleß,872
ST,150810135135,"Gardelegen, Hansestadt",22076
NW,057580016016,Hiddenhausen,19560
BW,083155012074,"Müllheim, Stadt",19638
RP,073395007060,Undenheim,2960
MV,130725252028,Dreetz,194
HE,064390016016,Waldems,5186
TH,160665005052,Oberweid,493
BW,082365001039,Mönsheim,2929
BY,091765116124,Eitensheim,2976
BW,083355002015,Büsingen am Hochrhein,1384
BY,094785446127,Hochstadt a.Main,1592
SH,010575747058,Pohnsdorf,371
NW,051540048048,Rheurdt,6402
ST,150835053320,Hötensleben,3485
BB,120645403205,Heckelberg-Brunow,693
MV,130750136136,"Ueckermünde, Seebad , Stadt",8794
RP,073315005017,Eckelsheim,441
SH,010605086079,Stipsdorf,243
BB,120665607116,Grünewald,531
BY,095720131131,"Heroldsberg, M",8373
SN,146250200200,"Großröhrsdorf, Stadt",9417
BY,094710150150,Kemmern,2499
BY,091715103123,"Marktl, M",2770
SH,010595996188,Stapel,1927
BW,082155003029,Hambrücken,5571
NI,033575408021,Heeslingen,4856
RP,073375001074,Silz (Landkreis Südliche Weinstraße),736
MV,130725261090,Rukieten,362
MV,130735353083,Sehlen,890
SH,010555543014,Göhl,1097
BY,095715509192,Röckingen,756
RP,073375005009,Birkweiler,727
BY,091715102116,Feichten a.d.Alz,1224
RP,072315008104,Pantenburg,250
BY,093745327117,"Eschenbach i.d.OPf., St",4025
RP,073335004047,Morschheim,725
ST,150905051010,"Arneburg, Stadt",1437
ST,150830531531,"Wanzleben-Börde, Stadt",13978
NI,034610009009,Stadland,7637
RP,073395002034,Lörzweiler,2295
BB,120690656656,"Werder (Havel), Stadt",26938
RP,071335006109,Wallhausen (Landkreis Bad Kreuznach),1622
BY,093720138138,"Lam, M",2551
TH,160755004014,Dittersdorf,455
RP,073345001036,Zeiskam,2252
BY,097715704165,Sielenbach,1816
ST,150835053190,Eilsleben,3626
SH,010595990164,Steinberg (Kreis Schleswig-Flensburg),859
SH,010625218078,Todendorf,1246
MV,130725257112,Wardow,1315
SH,010585890080,Holtsee,1244
HE,066310005005,Ehrenberg (Rhön),2594
SH,010625218016,Elmenhorst (Kreis Stormarn),2738
BY,091805133113,Bad Bayersoien,1260
BY,093620000000,Regensburg,145901
SN,145240120120,"Hohenstein-Ernstthal, Stadt",14168
BB,120735305157,Flieth-Stegelitz,537
SH,010615168106,Vaalermoor,127
TH,160660023023,Floh-Seligenthal,5726
BB,120685807413,Storbeck-Frankendorf,483
RP,071325009107,Steinebach/ Sieg,1313
BY,091770118118,Finsing,4736
RP,071335006086,Roxheim,2756
BW,083355002028,Gottmadingen,10708
NI,032550008008,"Delligsen, Flecken",7424
BW,081270052052,Mainhardt,5963
MV,130765655109,Passow,700
SN,145230090090,Ellefeld,2498
BW,084255010035,Emeringen,157
RP,072335006056,Pelm,969
BY,096765630128,Hausen (Landkreis Miltenberg),1857
BY,092730165165,"Rohr i.NB, M",3436
NI,034590014014,"Bramsche, Stadt",30625
BW,082360070070,Keltern,8736
BB,120675706072,Briesen (Mark),2929
SH,010535373049,Hamfelde (Kreis Herzogtum Lauenburg),505
TH,160610116116,Am Ohmberg,3562
MV,130715164054,Groß Miltzow,984
NI,033605407017,Römstedt,799
HE,065320014014,Hüttenberg,10601
RP,073365010003,Altenglan,2759
BB,120655502100,"Gransee, Stadt",5875
SN,145230280280,Neumark,2942
NI,032410014014,"Ronnenberg, Stadt",23817
RP,072315009124,"Traben-Trarbach, Stadt",5465
RP,073325005018,Frankeneck,821
BY,091900115115,Bernried am Starnberger See,2438
NI,034590029029,Ostercappeln,9888
RP,072325006305,Schwirzheim,460
BY,092730147147,"Mainburg, St",15068
BW,084365001027,Eichstegen,521
HE,066340018018,"Niedenstein, Stadt",5415
