metroreg,label,y1990,y2000,y2010,y2020,y2023
DE001MC,Berlin,NA,4921641,5036223,5342887,5481613
DE002M,Hamburg,NA,3056199,3192336,3341649,3423121
DE003M,München,NA,2410083,2654726,2927716,2981735
DE004M,Köln,NA,1851563,1899930,2005478,2014918
DE005M,Frankfurt am Main,NA,2481064,2539597,2729562,2779727
DE007M,Stuttgart,NA,2601109,2673463,2794558,2816924
DE008M,Leipzig,NA,NA,NA,1049025,1076346
DE009M,Dresden,NA,NA,NA,1343841,1348569
DE011M,Düsseldorf,NA,1518575,1525774,1559177,1576105
DE012M,Bremen,NA,1229096,1245252,1277050,1295665
DE013M,Hannover,NA,1279783,1292008,1314935,1333851
DE014M,Nürnberg,NA,1267621,1298376,1353032,1374524
DE017M,Bielefeld,NA,321125,323084,334195,338332
DE018M,Halle an der Saale,NA,NA,431348,422577,426057
DE019M,Magdeburg,NA,NA,508513,498077,501013
DE020M,Wiesbaden,NA,453044,460796,465634,472697
DE021M,Göttingen,NA,NA,NA,458326,461716
DE025M,Darmstadt,NA,423260,432250,457722,462901
DE027M,Freiburg im Breisgau,NA,591631,630133,661204,677084
DE028M,Regensburg,NA,408076,430334,470222,481304
DE031M,Schwerin,NA,NA,NA,307432,312757
DE032M,Erfurt,NA,555155,529179,524565,526332
DE033M,Augsburg,NA,611735,631403,684705,699709
DE034M,Bonn,NA,873685,918248,930437,944800
DE035M,Karlsruhe,NA,693633,723565,757161,763320
DE036M,Mönchengladbach,NA,263697,258251,261034,268465
DE037M,Mainz,NA,376200,399361,429995,435500
DE038M,Ruhrgebiet,NA,5379783,5172475,5112050,5147820
DE039M,Kiel,NA,633975,643480,649578,657962
DE040M,Saarbrücken,NA,870069,826183,796637,801299
DE042M,Koblenz,NA,317709,317524,328486,333478
DE043M,Rostock,NA,NA,NA,424985,430727
DE044M,Kaiserslautern,NA,289351,278730,276228,280906
DE045M,Iserlohn,NA,459615,434031,410222,410346
DE052M,Flensburg,NA,280865,286928,291320,298588
DE054M,Konstanz,NA,264540,277555,286305,292568
DE057M,Gießen,NA,253210,255765,270688,278664
DE059M,Bayreuth,NA,261677,254031,250013,250861
DE061M,Aschaffenburg,NA,371393,370759,373945,379237
DE064M,Neubrandenburg,NA,NA,NA,258074,259568
DE069M,Rosenheim,NA,292199,309696,324881,331348
DE073M,Offenburg,NA,405607,417267,430953,441885
DE074M,Görlitz,NA,NA,NA,252725,249681
DE077M,Schweinfurt,NA,280214,271890,272106,276286
DE079M,Wetzlar,NA,262951,254878,253319,257289
DE083M,Braunschweig-Salzgitter-Wolfsburg,NA,1008765,993953,1000311,1014477
DE084M,Mannheim-Ludwigshafen,NA,1166060,1170100,1193118,1209891
DE504M,Münster,NA,477450,495804,535879,545638
DE507M,Aachen,NA,NA,NA,557026,562559
DE510M,Lübeck,NA,414726,414766,417069,421701
DE513M,Kassel,NA,441802,432747,438901,444920
DE517M,Osnabrück,NA,517577,520570,523331,533587
DE520M,Oldenburg (Oldenburg),NA,382885,405422,424826,434996
DE522M,Heidelberg,NA,661626,682747,709840,717625
DE523M,Paderborn,NA,288110,299106,307839,313758
DE524M,Würzburg,NA,506749,510487,507549,513528
DE527M,Bremerhaven,NA,326568,315219,311681,316881
DE529M,Heilbronn,NA,437104,451469,471048,481617
DE532M,Ulm,NA,459829,477172,499070,511829
DE533M,Pforzheim,NA,308817,314342,325513,330385
DE534M,Ingolstadt,NA,432259,457335,495803,508659
DE537M,Reutlingen,NA,276671,280927,287034,291696
DE540M,Siegen,NA,434663,417278,405749,408603
DE542M,Hildesheim,NA,292466,284551,275817,278371
DE544M,Zwickau,NA,NA,NA,315002,310838
DE546M,Wuppertal,NA,368993,351050,355100,358876
DE548M,Düren,NA,266457,268637,264638,270833
DE549M,Bocholt,NA,356706,369666,371339,379070
